time,station_id,longitude,latitude,PM25_Concentration,weather,temperature,humidity,wind_speed,wind_direction,filled,delta_t
2015-03-01 00:00:00,1002,116.20531,40.00395,26.0,14.0,3.0,23.0,3.0,14.0,False,1
2015-03-01 00:00:00,1003,116.184239,39.914409,21.0,14.0,4.0,17.0,8.5,24.0,False,1
2015-03-01 00:00:00,1004,116.17115,39.815128,25.0,14.0,4.0,18.0,3.0,24.0,False,1
2015-03-01 00:00:00,1005,116.136045,39.742767,25.0,1.0,2.0,26.0,4.68,23.0,False,1
2015-03-01 00:00:00,1006,116.287451,39.987313,30.0,14.0,3.0,23.0,3.0,14.0,False,1
2015-03-01 00:00:00,1007,116.3974,39.982053,69.0,14.0,1.0,29.0,14.04,24.0,False,1
2015-03-01 00:00:00,1010,116.394009,39.876184,40.0,14.0,4.0,18.0,3.0,24.0,False,1
2015-03-01 00:00:00,1011,116.36781,39.855958,33.0,14.0,4.0,18.0,3.0,24.0,False,1
2015-03-01 00:00:00,1014,116.483746,39.939554,223.0,14.0,1.0,29.0,14.04,24.0,False,1
2015-03-01 00:00:00,1018,116.506319,39.794491,53.0,1.0,3.0,26.0,4.68,24.0,False,1
2015-03-01 00:00:00,1019,116.664162,39.885241,231.0,1.0,1.0,80.0,3.0,4.0,False,1
2015-03-01 00:00:00,1023,116.655,40.127,175.0,1.0,0.0,68.0,6.12,23.0,False,1
2015-03-01 00:00:00,1025,116.105999,39.936999,30.0,1.0,3.0,17.0,6.84,24.0,False,1
2015-03-01 00:00:00,1029,115.971999,40.453,37.0,1.0,0.0,21.0,11.16,24.0,False,1
2015-03-01 00:00:00,1030,116.22,40.292,53.0,1.0,3.0,18.0,8.5,2.0,False,1
2015-03-01 00:00:00,1031,115.988,40.365,32.0,1.0,0.0,21.0,11.16,24.0,False,1
2015-03-01 00:00:00,1032,116.911,40.499,174.0,1.0,-2.0,89.0,2.88,14.0,False,1
2015-03-01 00:00:00,1033,117.12,40.1,168.0,1.0,-2.0,90.0,3.96,13.0,False,1
2015-03-01 00:00:00,1034,116.783,39.712,198.0,1.0,1.0,80.0,3.0,4.0,False,1
2015-03-01 00:00:00,1035,116.3,39.52,237.0,1.0,3.0,26.0,4.68,24.0,False,1
2015-03-01 01:00:00,1002,116.20531,40.00395,18.0,14.0,2.1666666666666665,28.5,3.0,14.0,False,2
2015-03-01 01:00:00,1003,116.184239,39.914409,14.0,14.0,2.75,23.25,7.125,24.0,False,2
2015-03-01 01:00:00,1004,116.17115,39.815128,9.0,14.0,2.75,24.75,3.0,24.0,False,2
2015-03-01 01:00:00,1005,116.136045,39.742767,22.0,1.0,1.0,31.75,4.68,23.0,False,2
2015-03-01 01:00:00,1006,116.287451,39.987313,18.0,14.0,2.1666666666666665,28.5,3.0,14.0,False,2
2015-03-01 01:00:00,1007,116.3974,39.982053,35.0,14.0,1.0,28.666666666666668,12.0,24.0,False,2
2015-03-01 01:00:00,1010,116.394009,39.876184,29.0,14.0,2.75,24.75,3.0,24.0,False,2
2015-03-01 01:00:00,1011,116.36781,39.855958,28.0,14.0,2.75,24.75,3.0,24.0,False,2
2015-03-01 01:00:00,1014,116.483746,39.939554,238.0,14.0,1.0,28.666666666666668,12.0,24.0,False,2
2015-03-01 01:00:00,1018,116.506319,39.794491,43.0,1.0,1.5,36.0,3.6,24.0,False,2
2015-03-01 01:00:00,1019,116.664162,39.885241,196.0,1.0,1.25,67.75,3.0,4.0,False,2
2015-03-01 01:00:00,1023,116.655,40.127,130.0,1.0,0.0,75.5,3.06,23.0,False,2
2015-03-01 01:00:00,1025,116.105999,39.936999,18.0,1.0,1.5,25.0,5.22,24.0,False,2
2015-03-01 01:00:00,1029,115.971999,40.453,25.0,1.0,0.0,21.5,13.32,24.0,False,2
2015-03-01 01:00:00,1030,116.22,40.292,34.0,1.0,3.0,18.75,8.5,2.0,False,2
2015-03-01 01:00:00,1031,115.988,40.365,27.0,1.0,0.0,21.5,13.32,24.0,False,2
2015-03-01 01:00:00,1032,116.911,40.499,177.0,1.0,-3.25,89.5,2.61,14.0,False,2
2015-03-01 01:00:00,1033,117.12,40.1,156.0,1.0,-3.25,90.5,3.33,13.0,False,2
2015-03-01 01:00:00,1034,116.783,39.712,165.0,1.0,1.25,67.75,3.0,4.0,False,2
2015-03-01 01:00:00,1035,116.3,39.52,276.0,1.0,1.5,36.0,3.6,24.0,False,2
2015-03-01 02:00:00,1002,116.20531,40.00395,13.0,14.0,1.3333333333333333,34.0,3.0,14.0,False,3
2015-03-01 02:00:00,1003,116.184239,39.914409,15.0,14.0,1.5,29.5,5.75,24.0,False,3
2015-03-01 02:00:00,1004,116.17115,39.815128,15.0,14.0,1.5,31.5,3.0,24.0,False,3
2015-03-01 02:00:00,1005,116.136045,39.742767,19.0,1.0,0.0,37.5,4.68,23.0,False,3
2015-03-01 02:00:00,1006,116.287451,39.987313,15.0,14.0,1.3333333333333333,34.0,3.0,14.0,False,3
2015-03-01 02:00:00,1007,116.3974,39.982053,20.0,14.0,1.0,28.33333333333333,9.96,24.0,False,3
